variable,entry,seed,trained,delta
Has_Payment_Clause,0,0.6,0.6,0.0
Has_Payment_Clause,1,0.4,0.4,0.0
Has_Termination_Clause,0,0.5,0.5,0.0
Has_Termination_Clause,1,0.5,0.5,0.0
Has_Liability_Clause,0,0.55,0.55,0.0
Has_Liability_Clause,1,0.45,0.45,0.0
Has_Confidentiality_Clause,0,0.45,0.45,0.0
Has_Confidentiality_Clause,1,0.55,0.55,0.0
Has_Dispute_Resolution_Clause,0,0.5,0.5,0.0
Has_Dispute_Resolution_Clause,1,0.5,0.5,0.0
Payment_Or_Termination_Risky,0,0.75,0.75,0.0
Payment_Or_Termination_Risky,1,0.6,0.6,0.0
Payment_Or_Termination_Risky,2,0.55,0.55,0.0
Payment_Or_Termination_Risky,3,0.15,0.15,0.0
Payment_Or_Termination_Risky,4,0.25,0.25,0.0
Payment_Or_Termination_Risky,5,0.4,0.4,0.0
Payment_Or_Termination_Risky,6,0.45,0.45,0.0
Payment_Or_Termination_Risky,7,0.85,0.85,0.0
Liability_Or_Confidentiality_Risky,0,0.8,0.8,0.0
Liability_Or_Confidentiality_Risky,1,0.65,0.65,0.0
Liability_Or_Confidentiality_Risky,2,0.6,0.6,0.0
Liability_Or_Confidentiality_Risky,3,0.2,0.2,0.0
Liability_Or_Confidentiality_Risky,4,0.2,0.2,0.0
Liability_Or_Confidentiality_Risky,5,0.35,0.35,0.0
Liability_Or_Confidentiality_Risky,6,0.4,0.4,0.0
Liability_Or_Confidentiality_Risky,7,0.8,0.8,0.0
Cross_Clause_Conflict,0,0.65,0.65,0.0
Cross_Clause_Conflict,1,0.75,0.75,0.0
Cross_Clause_Conflict,2,0.3,0.3,0.0
Cross_Clause_Conflict,3,0.45,0.45,0.0
Cross_Clause_Conflict,4,0.25,0.25,0.0
Cross_Clause_Conflict,5,0.4,0.4,0.0
Cross_Clause_Conflict,6,0.03,0.03,0.0
Cross_Clause_Conflict,7,0.1,0.1,0.0
Cross_Clause_Conflict,8,0.25,0.25,0.0
Cross_Clause_Conflict,9,0.18,0.18,0.0
Cross_Clause_Conflict,10,0.5,0.5,0.0
Cross_Clause_Conflict,11,0.42,0.42,0.0
Cross_Clause_Conflict,12,0.5,0.5,0.0
Cross_Clause_Conflict,13,0.42,0.42,0.0
Cross_Clause_Conflict,14,0.17,0.17,0.0
Cross_Clause_Conflict,15,0.25,0.25,0.0
Cross_Clause_Conflict,16,0.1,0.1,0.0
Cross_Clause_Conflict,17,0.07,0.07,0.0
Cross_Clause_Conflict,18,0.2,0.2,0.0
Cross_Clause_Conflict,19,0.13,0.13,0.0
Cross_Clause_Conflict,20,0.25,0.25,0.0
Cross_Clause_Conflict,21,0.18,0.18,0.0
Cross_Clause_Conflict,22,0.8,0.8,0.0
Cross_Clause_Conflict,23,0.65,0.65,0.0
Contract_Risk_Level,0,0.05,0.05,0.0
Contract_Risk_Level,1,0.2,0.2,0.0
Contract_Risk_Level,2,0.7,0.7,0.0
Contract_Risk_Level,3,0.2,0.2,0.0
Contract_Risk_Level,4,0.65,0.65,0.0
Contract_Risk_Level,5,0.25,0.25,0.0
Contract_Risk_Level,6,0.75,0.75,0.0
Contract_Risk_Level,7,0.15,0.15,0.0
Contract_Risk_Level,8,0.05,0.05,0.0
